author,comments,name,press,price,rank
罗尔德·达尔,52005条评论,罗尔德·达尔作品典藏（13本套装）,明天出版社,¥158.00,173.
百鹤文化,35750条评论,写给儿童的成语故事（全10册）,贵州教育出版社,¥288.50,174.
张皓宸,75162条评论,后来时间都与你有关（韩寒 何炅 谢娜 吴昕 戚薇 阚清子等明星推荐,天津人民出版社,¥33.20,175.
真果果,159444条评论,宝宝学说话系列 第1辑  语言启蒙（全5册）,中国人口出版社,¥31.70,176.
乔斯坦·贾德,956条评论,苏菲的世界（新版）,作家出版社,¥34.00,177.
习近平,5827条评论,习近平谈治国理政 第一卷 中文版平装（最新修订版）团购电话010-,外文出版社,¥64.00,178.
白岩松,267170条评论,白岩松：白说,长江文艺出版社,¥30.00,179.
张德芬,107226条评论,遇见未知的自己（全新修订版）,湖南文艺出版社,¥26.10,180.
王小波,31027条评论,沉默的大多数（又名《一只特立独行的猪》）,北京联合出版公司,¥32.00,241.
郑智泳,35299条评论,东方儿童性教育绘本（全3册）,北京理工大学出版社,¥44.50,242.
张文成,2267条评论,墨菲定律,古吴轩出版社,¥25.30,243.
徐客,100694条评论,山海经（白话全译彩图版珍藏版）,现代出版社,¥59.80,244.
缇森,111795条评论,巴巴爸爸（全10册）,接力出版社,¥100.00,245.
余光中,86515条评论,孤独是生命的礼物,长江文艺出版社,¥32.00,246.
尹建莉,33502条评论,好妈妈胜过好老师2：自由的孩子最自觉,文汇出版社,¥36.10,247.
蕾秋·乔伊斯,32347条评论,一个人的朝圣（新版）,北京联合出版有限公司,¥28.70,248.
刘震云,41550条评论,一句顶一万句（典藏版，《朗读者》第五期，刘震云与观众一起分享,长江文艺出版社,¥34.00,249.
安娜·鲁斯曼,38333条评论,德国精选科学图画书 （肚子里有个火车站+牙齿大街的新鲜事，套装,北京科学技术出版社,¥70.00,250.
王小波,39458条评论,黄金时代（王小波“时代三部曲”首部）,上海三联书店,¥25.20,251.
路遥,121925条评论,平凡的世界：全三册（八年级下册自主阅读推荐）,北京十月文艺出版社,¥106.90,41.
安德斯·艾利克森,42678条评论,刻意练习：如何从新手到大师,机械工业出版社,¥34.90,252.
大冰,279237条评论,阿弥陀佛么么哒（大冰作品，畅销250万册）,湖南文艺出版社,¥30.40,253.
刘易斯,58677条评论,纳尼亚传奇(全辑共7册),译林出版社,¥79.40,141.
入山,19453条评论,小鸡球球触感玩具书：全5册,长江少年儿童出版社,¥172.50,42.
曹文轩,144414条评论,曹文轩文集典藏版（全7册）,天天出版社有限责任公司,¥115.90,43.
戴尔·卡耐基,118279条评论,人性的弱点（薛之谦推荐）,天津人民出版社,¥27.00,44.
黄仁宇,38016条评论,中国大历史（黄仁宇大历史观代表作）,生活.读书.新知三联书店,¥24.90,254.
罗尔德·达尔,20412条评论,罗尔德·达尔作品典藏 查理和巧克力工厂,明天出版社,¥17.40,255.
成语大词典,66287条评论,成语大词典（彩色本）最新修订版 60000多名读者热评！,商务印书馆国际有限公司,¥64.90,256.
阿加莎.克里斯蒂,43850条评论,东方快车谋杀案：阿加莎·克里斯蒂侦探作品集04（英格丽·褒曼凭,新星出版社,¥24.80,257.
约翰范登,5267条评论,不可不知的科学,长江少年儿童出版社,¥33.10,258.
孙家裕,1774条评论,大中华寻宝系列21 青海寻宝记 我的第一本科学漫画书,二十一世纪出版社,¥22.50,259.
乔治·M·卡帕卡,125851条评论,这样跟孩子定规矩，孩子最不会抵触,北京联合出版公司,¥17.30,142.
明德尔西托默,38214条评论,汉声数学图画书（全41册+妈妈手册）,贵州人民出版社,"¥1,080.00",143.
戴尔·卡耐基,635条评论,人性的弱点大全集（人性的弱点+人性的优点）（薛之谦推荐。20世纪,天津人民出版社,¥38.80,144.
阿加莎.克里斯蒂,70725条评论,无人生还：阿加莎 克里斯蒂作品集10（销售记录超过一亿册的侦探小,新星出版社,¥26.60,145.
慈怀读书会,30584条评论,把生活过成你想要的样子,北京联合出版公司,¥31.50,146.
史蒂芬·柯维,107184条评论,高效能人士的七个习惯-25周年纪念版(团购，请致电010-57993149),中国青年出版社,¥60.70,147.
毛姆,40555条评论,月亮与六便士（2017全新未删节插图珍藏版，荣获波比小说奖诗人译,浙江文艺出版社,¥28.70,45.
慕颜歌,122930条评论,你的善良必须有点锋芒,古吴轩出版社,¥24.60,46.
陈卫平,87735条评论,写给儿童的中国地理（全14册）,新世界出版社,¥314.20,47.
马克斯·维尔修思,90421条评论,青蛙弗洛格的成长故事（全三辑，共26册）,湖南少年儿童出版社,¥112.20,48.
海明威,17778条评论,诺奖少年版（全套30册。当当2017新锐童书奖！含新课标书目，适合,辽宁少年儿童出版社,¥364.30,49.
玛兹丽施,103620条评论,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,中央编译出版社,¥31.00,50.
横沟百,41088条评论,窝在角落好安心（日本最萌疗愈绘本）,接力出版社,¥28.60,260.
莉莉·海沃德,1530条评论,尤尔小屋的猫,百花洲文艺出版社,¥33.60,148.
Highlights杂志社,163705条评论,美国经典专注力培养大书 （全8册）,湖南少年儿童出版社,¥110.40,51.
蔡崇达,340069条评论,皮囊（畅销200万册的国民读本，韩寒监制，刘德华、李敬泽作序。繁,天津人民出版社,¥33.20,52.
山下英子,175172条评论,断舍离,广西科学技术出版社,¥27.00,53.
克兰兹,77851条评论,独一无二的你+勇敢做自己,北京科学技术出版社,¥52.30,54.
克利斯提昂,356341条评论,不一样的卡梅拉手绘本（1-12册）,２１世纪出版社,¥90.00,55.
克莱儿·麦克福尔,29521条评论,摆渡人2：重返荒原（每一个镌刻着爱与善意的灵魂，都会成为我们生,百花洲文艺出版社,¥34.00,56.
曹天元,86204条评论,上帝掷骰子吗？量子物理史话（科学性和故事性的完美结合，具有超,北京联合出版公司,¥26.90,149.
玛莉,238151条评论,小兔汤姆系列（第一辑）（全六册 ）,海燕出版社,¥37.50,150.
